Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=16, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S14_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=48, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M04_S45_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=52, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M04_S48_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M04_S52_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042054.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=56, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042055.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=57, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042056.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=1, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M20_S57_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=2, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042058.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=3, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042059.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=4, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042100.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=5, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042101.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=10, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M21_S05_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=11, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042103.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=48, tm_sec=31, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M48_S29_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=48, tm_sec=33, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M48_S31_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=48, tm_sec=36, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M48_S33_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=49, tm_sec=28, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M49_S25_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=50, tm_sec=51, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M50_S49_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=51, tm_sec=57, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M51_S55_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=53, tm_sec=53, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035044.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=14, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S11_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=36, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S33_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=42, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S39_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=32, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S29_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=44, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S41_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=49, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S46_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=52, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S49_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=58, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035448.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=56, tm_sec=7, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M56_S04_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=59, tm_sec=56, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035613.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=0, tm_sec=46, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035631.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=1, tm_sec=15, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040106.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=1, tm_sec=35, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M01_S31_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=2, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040137.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=13, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040201.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042054.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=56, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042055.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=57, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042056.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=1, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M20_S57_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=2, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042058.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=3, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042059.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=4, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042100.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=5, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042101.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=10, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M21_S05_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=11, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042103.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=11, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042104.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=12, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042105.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=48, tm_sec=10, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M48_S08_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=53, tm_sec=52, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035044.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=17, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S14_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=54, tm_sec=22, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M54_S19_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=32, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S29_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=55, tm_sec=44, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M55_S41_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=56, tm_sec=43, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M56_S40_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=56, tm_sec=48, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M56_S45_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=56, tm_sec=57, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035509.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=57, tm_sec=5, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H15_M57_S02_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=57, tm_sec=11, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035515.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=15, tm_min=59, tm_sec=56, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035613.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=0, tm_sec=46, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511035631.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=1, tm_sec=14, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M01_S11_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=1, tm_sec=15, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040106.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=1, tm_sec=35, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M01_S31_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=2, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040137.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=9, tm_wday=5, tm_yday=132, tm_isdst=0): [WinError 2] 系統找不到指定的檔案。: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040159.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=13, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040201.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=4, tm_sec=48, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M04_S45_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=6, tm_sec=4, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511040453.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=55, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042054.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=56, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042055.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=20, tm_sec=57, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042056.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=1, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M20_S57_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=2, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042058.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=3, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042059.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=4, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042100.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=5, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042101.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=10, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 13] Permission denied: 'C:\\misars\\ai_py\\062\\output_folder\\2024-05-11 H16_M21_S05_NONE.png'
Failed to process time.struct_time(tm_year=2024, tm_mon=5, tm_mday=11, tm_hour=16, tm_min=21, tm_sec=11, tm_wday=5, tm_yday=132, tm_isdst=0): [Errno 2] No such file or directory: 'C:\\misars\\ai_py\\062\\load_folder\\20240511042103.png'
